name,personality,environmentalImpact,loan_amount,capital,income,monthlyExpenses,numberOfKids,homeMortgage,hasStudentLoan,monthly_surplus,interest,months,score_totalProfit,score_happynessScore,score_environmentalImpact,score_totalScore,mapName
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,1e+17,336,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,1e+17,348,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,1e+17,360,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.001,0,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.001,12,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.001,24,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.001,36,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.001,48,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.001,60,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.001,72,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.001,84,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.001,96,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.001,108,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.001,120,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.001,132,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.001,144,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.001,156,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.001,168,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.001,180,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.001,192,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.001,204,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.001,216,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.001,228,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.001,240,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.001,252,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.001,264,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.001,276,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.001,288,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.001,300,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.001,312,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.001,324,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.001,336,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.001,348,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.001,360,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.01,0,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.01,12,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.01,24,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.01,36,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.01,48,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.01,60,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.01,72,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.01,84,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.01,96,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.01,108,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.01,120,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.01,132,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.01,144,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.01,156,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.01,168,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.01,180,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.01,192,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.01,204,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.01,216,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.01,228,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.01,240,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.01,252,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.01,264,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.01,276,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.01,288,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.01,300,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.01,312,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.01,324,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.01,336,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.01,348,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.01,360,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.02,0,-500,-275,56600,55825,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.02,12,-500,-275,56600,55825,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.02,24,16064,-500,56600,72164,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.02,36,32168,-500,56600,88268,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.02,48,32283,-500,56600,88383,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.02,60,47615,-125,56600,104090,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.02,72,47753,-125,56600,104228,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.02,84,63824,-500,56600,119924,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.02,96,63972,-500,56600,120072,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.02,108,80038,-500,56600,136138,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.02,120,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.02,132,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.02,144,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.02,156,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.02,168,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.02,180,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.02,192,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.02,204,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.02,216,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.02,228,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.02,240,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.02,252,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.02,264,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.02,276,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.02,288,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.02,300,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.02,312,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.02,324,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.02,336,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.02,348,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.02,360,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.03,0,-500,-275,56600,55825,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.03,12,-500,-275,56600,55825,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.03,24,24346,-500,56600,80446,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.03,36,24346,-500,56600,80446,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.03,48,48675,-500,56600,104775,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.03,60,72047,-125,56600,128522,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.03,72,72254,-125,56600,128729,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.03,84,96362,-500,56600,152462,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.03,96,96584,-500,56600,152684,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.03,108,96756,-500,56600,152856,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.03,120,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.03,132,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.03,144,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.03,156,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.03,168,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.03,180,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.03,192,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.03,204,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.03,216,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.03,228,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.03,240,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.03,252,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.03,264,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.03,276,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.03,288,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.03,300,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.03,312,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.03,324,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.03,336,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.03,348,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.03,360,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.04,0,-500,-275,56600,55825,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.04,12,-500,-275,56600,55825,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.04,24,32629,-500,56600,88729,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.04,36,32629,-500,56600,88729,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.04,48,65067,-500,56600,121167,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.04,60,65205,-500,56600,121305,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.04,72,96756,-125,56600,153231,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.04,84,96953,-125,56600,153428,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.04,96,129195,-500,56600,185295,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.04,108,129425,-500,56600,185525,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.04,120,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.04,132,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.04,144,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.04,156,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.04,168,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.04,180,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.04,192,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.04,204,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.04,216,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.04,228,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.04,240,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.04,252,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.04,264,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.04,276,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.04,288,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.04,300,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.04,312,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.04,324,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.04,336,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.04,348,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.04,360,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.05,0,-500,-275,56600,55825,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.05,12,-500,-275,56600,55825,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.05,24,40911,-500,56600,97011,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.05,36,40911,-500,56600,97011,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.05,48,81459,-500,56600,137559,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.05,60,81632,-500,56600,137732,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.05,72,121258,-125,56600,177733,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.05,84,121504,-125,56600,177979,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.05,96,121689,-125,56600,178164,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.05,108,162094,-500,56600,218194,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.05,120,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.05,132,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,0.05,144,0,0,0,0,Almhult
